mp_id,formula,crystal_system,space_group,z_max,n_elements,ahc,theta_sh,theta_sh_source,band_gap,is_magnetic,source
mp-22389,Mn3Sn,hexagonal,194,50,2,200.0,0.35,illustrative_oracle,0.0,True,mp_api
mp-2647022,Pt,hexagonal,194,78,1,0.0,0.08,illustrative_oracle,0.0,False,mp_api
mp-11334,W,cubic,223,74,1,0.0,-0.33,illustrative_oracle,0.0,False,mp_api
mp-42,Ta,tetragonal,113,73,1,0.0,-0.12,illustrative_oracle,0.0,False,mp_api
mp-1186427,Pd,hexagonal,194,46,1,0.0,0.01,illustrative_oracle,0.0,False,mp_api
mp-1008634,Au,hexagonal,194,79,1,0.0,0.11,illustrative_oracle,0.0,False,mp_api
mp-21171,MnGaCo2,cubic,225,31,3,1600.0,0.2,illustrative_oracle,0.0,False,mp_api
mp-20883,Fe3Sn,hexagonal,194,50,2,450.0,0.25,illustrative_oracle,0.0,True,mp_api
mp-2766475,Mn3Ir,monoclinic,11,77,2,0.0,0.18,illustrative_oracle,0.0,True,mp_api
mp-685055,CrTe2,trigonal,164,52,2,320.0,0.4,illustrative_oracle,0.0,False,mp_api
mp-1221545,MnPt,trigonal,166,78,2,150.0,0.15,illustrative_oracle,0.0,True,mp_api
mp-23164,Bi2Se3,orthorhombic,62,83,2,0.0,3.5,illustrative_oracle,0.9577999999999998,False,mp_api
